# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Sep 29 21:45:42 2019
#
# User preference: *
#
# CONSTRAINT:  order by pl_pelink asc
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_controvflag: Controversial Flag
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN gaia_dist:      Gaia Distance [pc]
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_trandep:     Transit Depth [percent]
# COLUMN pl_trandur:     Transit Duration [days]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_disc:        Year of Discovery
# COLUMN pl_facility:    Discovery Facility
# COLUMN pl_pelink:      Link to Exoplanet Encyclopaedia
# COLUMN pl_edelink:     Link to Exoplanet Data Explorer
#
loc_rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_trandep,pl_trandur,pl_tranmid,pl_disc,pl_facility,pl_pelink,pl_edelink
384,HD 114613,b,HD 114613 b,Radial Velocity,0,1,4000.00000000,5.340000,0.458000,,0.35700,Msini,,,0,0,0,0,13h12m03.19s,198.013275,-37d48m10.9s,-37.803020,20.29,20.29,4.850,V (Johnson),4.604,5641.00,1.27,2.14,2018-12-06,,,,2014,Anglo-Australian Telescope,http://exoplanet.eu/catalog/hd_114613_b/,
385,HD 114729,b,HD 114729 b,Radial Velocity,0,1,1121.79000000,2.067000,0.079000,,0.82500,Msini,,,0,0,0,0,13h12m44.26s,198.184402,-31d52m24.1s,-31.873348,37.85,37.85,6.687,V (Johnson),6.514,5844.00,0.94,1.47,2019-06-27,,,,2002,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_114729_b/,http://exoplanets.org/detail/HD_114729_b
386,HD 114762,b,HD 114762 b,Radial Velocity,0,1,83.91510000,0.360000,0.340000,,10.69000,Msini,,,0,0,0,0,13h12m19.74s,198.082260,+17d31m01.6s,17.517122,40.23,40.23,7.301,V (Johnson),7.140,5869.00,0.80,1.20,2018-09-06,,,,1989,Oak Ridge Observatory,http://exoplanet.eu/catalog/hd_114762_b/,http://exoplanets.org/detail/HD_114762_b
387,HD 114783,b,HD 114783 b,Radial Velocity,0,2,493.70000000,1.160000,0.144000,,1.10000,Msini,,,0,0,0,0,13h12m43.78s,198.182434,-02d15m54.1s,-2.265040,20.40,21.08,7.550,V (Johnson),7.318,5135.00,0.85,,2014-05-14,,,,2001,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_114783_b/,http://exoplanets.org/detail/HD_114783_b
388,HD 114783,c,HD 114783 c,Radial Velocity,0,2,4319.00000000,,0.000000,,0.61100,Msini,,,0,0,0,0,13h12m43.78s,198.182434,-02d15m54.1s,-2.265040,20.40,21.08,7.550,V (Johnson),7.318,5135.00,0.85,,2018-11-29,,,,2018,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_114783_c/,
389,HD 11506,b,HD 11506 b,Radial Velocity,0,2,1622.10000000,2.900000,0.374300,,4.83000,Msini,,,0,0,0,0,01h52m50.53s,28.210558,-19d30m25.1s,-19.506975,51.34,51.34,7.510,V (Johnson),7.374,6030.00,1.24,1.34,2018-09-27,,,,2007,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_11506_b/,http://exoplanets.org/detail/HD_11506_b
390,HD 11506,c,HD 11506 c,Radial Velocity,0,2,223.41000000,0.774000,0.193000,,0.40800,Msini,,,0,0,0,0,01h52m50.53s,28.210558,-19d30m25.1s,-19.506975,51.34,51.34,7.510,V (Johnson),7.374,6030.00,1.24,1.34,2018-09-27,,,,2008,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_11506_c/,
391,HD 116029,b,HD 116029 b,Radial Velocity,0,2,670.00000000,1.650000,0.000000,,1.40000,Msini,,,0,0,0,0,13h20m39.54s,200.164764,+24d38m55.3s,24.648699,123.68,123.68,8.040,V (Johnson),7.609,4819.00,0.83,4.89,2018-09-06,,,,2011,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_116029_b/,http://exoplanets.org/detail/HD_116029_b
392,HD 116029,c,HD 116029 c,Radial Velocity,0,2,907.00000000,,0.038000,,1.27000,Msini,,,0,0,0,0,13h20m39.54s,200.164764,+24d38m55.3s,24.648699,123.68,123.68,8.040,V (Johnson),7.609,4819.00,0.83,4.89,2018-11-29,,,,2018,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_116029_c/,
393,HD 117207,b,HD 117207 b,Radial Velocity,0,1,2621.75000000,3.787000,0.157000,,1.92600,Msini,,,0,0,0,0,13h29m21.11s,202.337967,-35d34m15.6s,-35.570995,32.38,32.38,7.240,V (Johnson),7.077,5732.00,1.05,1.07,2019-06-27,,,,2004,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_117207_b/,http://exoplanets.org/detail/HD_117207_b
394,HD 11755,b,HD 11755 b,Radial Velocity,0,1,433.70001000,1.090000,0.190000,,5.63000,Msini,,,0,0,0,0,01h58m50.09s,29.708696,+73d09m08.6s,73.152382,236.64,236.64,6.870,V (Johnson),6.460,4312.00,0.72,20.58,2018-09-06,,,,2015,Bohyunsan Optical Astronomical Observatory,http://exoplanet.eu/catalog/hd_11755_b/,
395,HD 117618,b,HD 117618 b,Radial Velocity,0,1,25.80000000,0.180000,0.150000,,0.17400,Msini,,,0,0,0,1,13h32m25.55s,203.106476,-47d16m16.9s,-47.271362,37.82,37.82,7.169,V (Johnson),7.022,5990.00,1.08,,2019-03-14,,,,2004,Anglo-Australian Telescope,http://exoplanet.eu/catalog/hd_117618_b/,http://exoplanets.org/detail/HD_117618_b
396,HD 118203,b,HD 118203 b,Radial Velocity,0,1,6.13350000,0.070000,0.310000,,2.79000,Msini,,,0,0,0,0,13h34m02.54s,203.510574,+53d43m42.7s,53.728531,92.51,92.51,8.050,V (Johnson),7.893,5864.00,1.84,2.06,2018-09-06,,,,2005,Haute-Provence Observatory,http://exoplanet.eu/catalog/hd_118203_b/,http://exoplanets.org/detail/HD_118203_b
397,HD 119130,b,HD 119130 b,Transit,0,1,16.98410000,0.130000,0.040000,88.400,0.07709,Mass,0.235,7.40000,0,0,1,0,13h41m30.30s,205.376266,-09d56m45.9s,-9.946078,114.29,114.66,9.917,V (Johnson),9.756,5725.00,1.00,1.09,2019-02-07,,0.1525000,2458180.284200,2019,Kepler,http://exoplanet.eu/catalog/hd_119130_b/,
398,HD 11964,b,HD 11964 b,Radial Velocity,0,2,1945.00000000,3.160000,0.041000,,0.62200,Msini,,,0,0,0,1,01h57m09.61s,29.290026,-10d14m32.7s,-10.242428,33.57,33.57,6.420,V (Johnson),6.204,5349.00,1.12,,2019-01-31,,,,2005,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_11964_b/,http://exoplanets.org/detail/HD_11964_b
399,HD 11964,c,HD 11964 c,Radial Velocity,0,2,37.91000000,0.229000,0.300000,,0.07880,Msini,,,0,0,0,1,01h57m09.61s,29.290026,-10d14m32.7s,-10.242428,33.57,33.57,6.420,V (Johnson),6.204,5349.00,1.12,,2019-01-31,,,,2008,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_11964_c/,http://exoplanets.org/detail/HD_11964_c
400,HD 11977,b,HD 11977 b,Radial Velocity,0,1,711.00000000,1.930000,0.400000,,6.54000,Msini,,,0,0,0,0,01h54m56.13s,28.733881,-67d38m50.3s,-67.647301,68.05,68.05,4.690,V (Johnson),4.371,4970.00,1.91,10.09,2019-01-31,,,,2005,La Silla Observatory,http://exoplanet.eu/catalog/hd_11977_b/,http://exoplanets.org/detail/HD_11977_b
401,HD 120084,b,HD 120084 b,Radial Velocity,0,1,2082.00000000,4.300000,0.660000,,4.50000,Msini,,,0,0,0,0,13h42m39.20s,205.663345,+78d03m52.0s,78.064438,103.35,103.35,5.899,V (Johnson),5.635,4892.00,2.39,9.12,2014-05-14,,,,2013,Okayama Astrophysical Observatory,http://exoplanet.eu/catalog/hd_120084_b/,http://exoplanets.org/detail/HD_120084_b
402,HD 121504,b,HD 121504 b,Radial Velocity,0,1,63.33000000,0.330000,0.030000,,1.51000,Msini,,,0,0,0,0,13h57m17.24s,209.321823,-56d02m24.2s,-56.040043,41.71,41.71,7.517,V (Johnson),7.390,6027.00,1.62,1.07,2018-09-06,,,,2003,La Silla Observatory,http://exoplanet.eu/catalog/hd_121504_b/,http://exoplanets.org/detail/HD_121504_b
403,HD 12484,b,HD 12484 b,Radial Velocity,0,1,58.83000000,0.297000,0.070000,,2.98000,Msini,,,0,0,0,0,02h02m26.73s,30.611374,+02d48m57.1s,2.815859,51.10,48.40,8.170,V (Johnson),8.045,5920.00,1.01,,2016-02-25,,,,2016,Haute-Provence Observatory,http://exoplanet.eu/catalog/hd_12484_b/,
404,HD 125595,b,HD 125595 b,Radial Velocity,0,1,9.67370000,0.080000,0.000000,,0.02000,Msini,,,0,0,0,0,14h21m23.18s,215.346603,-40d23m38.2s,-40.393948,28.22,28.22,9.030,V (Johnson),8.655,4691.00,0.29,0.74,2018-09-06,,,,2009,La Silla Observatory,http://exoplanet.eu/catalog/hd_125595_b/,http://exoplanets.org/detail/HD_125595_b
405,HD 125612,b,HD 125612 b,Radial Velocity,0,3,557.04000000,1.372000,0.455300,,3.10000,Msini,,,0,0,0,0,14h20m53.51s,215.222977,-17d28m53.5s,-17.481522,57.72,57.72,8.310,V (Johnson),8.156,5841.00,1.11,1.05,2018-09-27,,,,2007,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_125612_b/,http://exoplanets.org/detail/HD_125612_b
406,HD 125612,c,HD 125612 c,Radial Velocity,0,3,4.15514000,0.052400,0.049000,,0.05500,Msini,,,0,0,0,0,14h20m53.51s,215.222977,-17d28m53.5s,-17.481522,57.72,57.72,8.310,V (Johnson),8.156,5841.00,1.11,1.05,2018-09-27,,,,2009,La Silla Observatory,http://exoplanet.eu/catalog/hd_125612_c/,http://exoplanets.org/detail/HD_125612_c
407,HD 125612,d,HD 125612 d,Radial Velocity,0,3,2835.00000000,4.060000,0.117200,,7.28000,Msini,,,0,0,0,0,14h20m53.51s,215.222977,-17d28m53.5s,-17.481522,57.72,57.72,8.310,V (Johnson),8.156,5841.00,1.11,1.05,2018-09-27,,,,2009,La Silla Observatory,http://exoplanet.eu/catalog/hd_125612_d/,
408,HD 12648,b,HD 12648 b,Radial Velocity,0,1,133.60001000,0.540000,0.040000,,1.96000,Msini,,,0,0,0,0,02h18m59.68s,34.748653,+85d44m10.1s,85.736153,183.15,183.15,6.980,V (Johnson),6.718,4835.00,0.67,11.02,2018-09-06,,,,2015,Bohyunsan Optical Astronomical Observatory,http://exoplanet.eu/catalog/hd_12648_b/,
409,HD 126525,b,HD 126525 b,Radial Velocity,0,1,960.41000000,1.837000,0.035000,,0.23700,Msini,,,0,0,0,0,14h27m32.97s,216.887375,-51d55m59.1s,-51.933086,37.69,37.69,7.847,V (Johnson),7.670,5638.00,0.90,0.98,2019-06-27,,,,2018,La Silla Observatory,http://exoplanet.eu/catalog/hd_126525_b/,
410,HD 12661,b,HD 12661 b,Radial Velocity,0,2,262.70862000,0.840000,0.380000,,2.43000,Msini,,,0,0,0,0,02h04m34.29s,31.142866,+25d24m51.5s,25.414305,37.89,37.89,7.425,V (Johnson),7.247,5645.00,1.20,1.20,2018-09-06,,,,2000,Multiple Observatories,http://exoplanet.eu/catalog/hd_12661_b/,http://exoplanets.org/detail/HD_12661_b
411,HD 12661,c,HD 12661 c,Radial Velocity,0,2,1708.00000000,2.814500,0.031000,,1.81200,Msini,,,0,0,0,0,02h04m34.29s,31.142866,+25d24m51.5s,25.414305,37.89,37.89,7.425,V (Johnson),7.247,5645.00,1.20,1.20,2014-11-19,,,,2002,Multiple Observatories,http://exoplanet.eu/catalog/hd_12661_c/,http://exoplanets.org/detail/HD_12661_c
412,HD 126614,b,HD 126614 b,Radial Velocity,0,1,1244.00000000,2.370000,0.410000,,0.41000,Msini,,,0,0,0,0,14h26m48.28s,216.701172,-05d10m40.0s,-5.177780,73.25,73.25,8.788,V (Johnson),8.619,5568.00,1.26,1.32,2018-09-06,,,,2009,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_126614_b/,http://exoplanets.org/detail/HD_126614_A_b
413,HD 128311,b,HD 128311 b,Radial Velocity,0,2,453.01900000,1.084000,0.303000,30.000,1.76900,Msini,,,0,0,0,1,14h36m00.56s,219.002335,+09d44m47.5s,9.746518,16.52,16.34,7.510,V (Johnson),7.167,,0.83,0.76,2015-06-25,,,,2002,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_128311_b/,http://exoplanets.org/detail/HD_128311_b
414,HD 128311,c,HD 128311 c,Radial Velocity,0,2,921.53800000,1.740000,0.159000,55.950,3.78900,Mass,,,0,0,0,1,14h36m00.56s,219.002335,+09d44m47.5s,9.746518,16.52,16.34,7.510,V (Johnson),7.167,,0.83,0.76,2015-06-25,,,,2005,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_128311_c/,http://exoplanets.org/detail/HD_128311_c
415,HD 128356,b,HD 128356 b,Radial Velocity,0,1,298.20000000,0.870000,0.570000,,0.89000,Msini,,,0,0,0,0,14h37m04.89s,219.270355,-25d48m09.2s,-25.802563,26.03,,8.290,V (Johnson),,4875.00,0.65,0.85,2016-11-10,,,,2016,Multiple Observatories,http://exoplanet.eu/catalog/hd_128356_b/,
416,HD 129445,b,HD 129445 b,Radial Velocity,0,1,1840.00000000,2.900000,0.700000,,1.60000,Msini,,,0,0,0,0,14h46m03.07s,221.512772,-68d45m45.9s,-68.762749,67.57,67.57,8.800,V (Johnson),8.618,,0.99,,2019-01-31,,,,2009,Las Campanas Observatory,http://exoplanet.eu/catalog/hd_129445_b/,
417,HD 130322,b,HD 130322 b,Radial Velocity,0,1,10.70871000,0.092500,0.029000,,1.15000,Msini,,,0,0,0,0,14h47m32.73s,221.886368,-00d16m53.3s,-0.281476,31.91,31.91,8.031,V (Johnson),7.834,5387.00,0.92,0.85,2015-02-19,,,,1999,La Silla Observatory,http://exoplanet.eu/catalog/hd_130322_b/,http://exoplanets.org/detail/HD_130322_b
418,HD 131496,b,HD 131496 b,Radial Velocity,0,1,896.00000000,2.010000,0.181000,,1.80000,Msini,,,0,0,0,0,14h53m23.03s,223.345947,+18d14m07.4s,18.235401,132.34,132.34,7.800,V (Johnson),7.521,4846.00,1.34,4.44,2018-12-06,,,,2011,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_131496_b/,http://exoplanets.org/detail/HD_131496_b
419,HD 131664,b,HD 131664 b,Radial Velocity,0,1,1951.00000000,3.170000,0.640000,,19.12000,Msini,,,0,0,0,0,15h00m06.08s,225.025314,-73d32m07.2s,-73.535339,52.89,52.89,8.128,V (Johnson),7.966,5892.00,1.19,1.08,2018-09-06,,,,2008,La Silla Observatory,http://exoplanet.eu/catalog/hd_131664_b/,http://exoplanets.org/detail/HD_131664_b
420,HD 13167,b,HD 13167 b,Radial Velocity,0,1,2613.00000000,4.100000,0.563000,,3.31000,Msini,,,0,0,0,0,02h08m13.78s,32.057426,-24d41m43.5s,-24.695410,149.57,149.57,8.340,V (Johnson),8.160,5671.00,1.35,2.39,2018-12-06,,,,2018,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_13167_b/,
421,HD 13189,b,HD 13189 b,Radial Velocity,0,1,471.60001000,1.250000,0.270000,,10.95000,Msini,,,0,0,0,0,02h09m40.17s,32.417381,+32d18m59.2s,32.316437,504.71,504.71,7.556,V (Johnson),7.017,4175.00,2.24,38.41,2018-09-06,,,,2005,Thueringer Landessternwarte Tautenburg,http://exoplanet.eu/catalog/hd_13189_b/,http://exoplanets.org/detail/HD_13189_b
422,HD 132406,b,HD 132406 b,Radial Velocity,0,1,974.00000000,1.980000,0.340000,,5.38000,Msini,,,0,0,0,0,14h56m54.65s,224.227707,+53d22m55.8s,53.382168,70.93,70.93,8.467,V (Johnson),8.281,5783.00,1.03,1.34,2018-09-06,,,,2007,Haute-Provence Observatory,http://exoplanet.eu/catalog/hd_132406_b/,http://exoplanets.org/detail/HD_132406_b
423,HD 132563,b,HD 132563 b,Radial Velocity,0,1,1544.00000000,2.620000,0.220000,,1.49000,Msini,,,0,0,0,0,14h58m21.52s,224.589661,+44d02m35.3s,44.043148,105.47,105.47,8.928,V (Johnson),8.858,6073.00,1.08,1.09,2019-01-31,,,,2011,Roque de los Muchachos Observatory,http://exoplanet.eu/catalog/hd_132563_b_b/,http://exoplanets.org/detail/HD_132563_B_b
424,HD 133131 A,b,HD 133131 A b,Radial Velocity,0,2,649.00000000,1.440000,0.330000,,1.42000,Msini,,,0,0,0,1,15h03m35.45s,225.897705,-27d50m33.3s,-27.842573,47.00,51.55,8.400,V (Johnson),8.275,5799.00,0.95,,2016-09-08,,,,2016,Las Campanas Observatory,http://exoplanet.eu/catalog/hd_133131_a_b/,
425,HD 133131 A,c,HD 133131 A c,Radial Velocity,0,2,3568.00000000,4.490000,0.490000,,0.42000,Msini,,,0,0,0,1,15h03m35.45s,225.897705,-27d50m33.3s,-27.842573,47.00,51.55,8.400,V (Johnson),8.275,5799.00,0.95,,2016-09-08,,,,2016,Las Campanas Observatory,http://exoplanet.eu/catalog/hd_133131_a_c/,
426,HD 133131 B,b,HD 133131 B b,Radial Velocity,0,1,5769.00000000,6.150000,0.610000,,2.50000,Msini,,,0,0,0,1,15h03m35.81s,225.899200,-27d50m27.6s,-27.840994,47.00,51.37,8.420,V (Johnson),8.257,5805.00,0.93,,2016-09-08,,,,2016,Las Campanas Observatory,http://exoplanet.eu/catalog/hd_133131_b_b/,
427,HD 134060,b,HD 134060 b,Radial Velocity,0,2,3.26960000,0.044400,0.450000,,0.03180,Msini,,,0,0,0,0,15h10m44.74s,227.686432,-61d25m20.4s,-61.422321,24.20,24.03,6.290,V (Johnson),6.133,5966.00,1.09,,2019-02-07,,,,2019,La Silla Observatory,http://exoplanet.eu/catalog/hd_134060_b/,
428,HD 134060,c,HD 134060 c,Radial Velocity,0,2,1291.56460000,2.392800,0.110000,,0.09220,Msini,,,0,0,0,0,15h10m44.74s,227.686432,-61d25m20.4s,-61.422321,24.20,24.03,6.290,V (Johnson),6.133,5966.00,1.09,,2019-02-07,,,,2019,La Silla Observatory,http://exoplanet.eu/catalog/hd_134060_c/,
429,HD 134987,b,HD 134987 b,Radial Velocity,0,2,258.17999000,0.810000,0.230000,,1.61000,Msini,,,0,0,0,0,15h13m28.67s,228.369446,-25d18m33.6s,-25.309347,26.20,26.20,6.450,V (Johnson),6.286,5736.00,1.10,1.22,2018-09-06,,,,1999,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_134987_b/,http://exoplanets.org/detail/HD_134987_b
430,HD 134987,c,HD 134987 c,Radial Velocity,0,2,5000.00000000,5.800000,0.120000,,0.82000,Msini,,,0,0,0,0,15h13m28.67s,228.369446,-25d18m33.6s,-25.309347,26.20,26.20,6.450,V (Johnson),6.286,5736.00,1.10,1.22,2019-01-31,,,,2009,Multiple Observatories,http://exoplanet.eu/catalog/hd_134987_c/,http://exoplanets.org/detail/HD_134987_c
431,HD 136352,b,HD 136352 b,Radial Velocity,0,3,11.58240000,0.093400,0.140000,,0.01510,Msini,,,0,0,0,0,15h21m48.15s,230.450623,-48d19m03.5s,-48.317627,14.81,14.69,5.650,V (Johnson),5.462,5664.00,0.81,,2019-02-07,,,,2019,La Silla Observatory,http://exoplanet.eu/catalog/hd_136352_b/,
432,HD 136352,c,HD 136352 c,Radial Velocity,0,3,27.58210000,0.166600,0.040000,,0.03400,Msini,,,0,0,0,0,15h21m48.15s,230.450623,-48d19m03.5s,-48.317627,14.81,14.69,5.650,V (Johnson),5.462,5664.00,0.81,,2019-02-07,,,,2019,La Silla Observatory,http://exoplanet.eu/catalog/hd_136352_c/,
433,HD 136352,d,HD 136352 d,Radial Velocity,0,3,107.59830000,0.412800,0.090000,,0.02700,Msini,,,0,0,0,0,15h21m48.15s,230.450623,-48d19m03.5s,-48.317627,14.81,14.69,5.650,V (Johnson),5.462,5664.00,0.81,,2019-02-07,,,,2019,La Silla Observatory,http://exoplanet.eu/catalog/hd_136352_d/,
434,HD 136418,b,HD 136418 b,Radial Velocity,0,1,464.29999000,1.290000,0.250000,,2.14000,Msini,,,0,0,0,0,15h19m06.18s,229.775757,+41d43m59.5s,41.733208,105.49,105.49,7.879,V (Johnson),7.609,4989.00,1.48,3.78,2018-09-06,,,,2009,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_136418_b/,http://exoplanets.org/detail/HD_136418_b
435,HD 13724,b,HD 13724 b,Radial Velocity,0,1,14763.40500000,12.400000,0.340000,,26.77000,Msini,,,0,0,0,0,02h12m20.68s,33.086163,-46d48m59.0s,-46.816387,43.52,43.52,7.890,V (Johnson),7.730,5868.00,1.14,1.07,2019-04-11,,,,2019,La Silla Observatory,http://exoplanet.eu/catalog/hd_13724_b/,
436,HD 137388,b,HD 137388 b,Radial Velocity,0,1,330.00000000,0.890000,0.360000,,0.20000,Msini,,,0,0,0,0,15h35m39.93s,233.916367,-80d12m16.5s,-80.204590,40.53,40.53,8.696,V (Johnson),8.480,5181.00,0.68,0.88,2018-09-06,,,,2011,La Silla Observatory,http://exoplanet.eu/catalog/hd_137388_b/,http://exoplanets.org/detail/HD_137388_b
437,HD 13908,b,HD 13908 b,Radial Velocity,0,2,19.38200000,0.154000,0.020000,,0.86500,Msini,,,0,0,0,0,02h18m14.56s,34.560665,+65d35m39.7s,65.594360,79.73,79.73,7.508,V (Johnson),7.385,6255.00,1.29,1.67,2014-05-14,,,,2013,Haute-Provence Observatory,http://exoplanet.eu/catalog/hd_13908_b/,http://exoplanets.org/detail/HD_13908_b
438,HD 13908,c,HD 13908 c,Radial Velocity,0,2,931.00000000,2.030000,0.120000,,5.13000,Msini,,,0,0,0,0,02h18m14.56s,34.560665,+65d35m39.7s,65.594360,79.73,79.73,7.508,V (Johnson),7.385,6255.00,1.29,1.67,2014-05-14,,,,2013,Haute-Provence Observatory,http://exoplanet.eu/catalog/hd_13908_c/,http://exoplanets.org/detail/HD_13908_c
439,HD 13931,b,HD 13931 b,Radial Velocity,0,1,4218.00000000,5.150000,0.020000,,2.20000,Msini,,,0,0,0,0,02h16m47.38s,34.197414,+43d46m22.8s,43.772995,47.46,47.46,7.597,V (Johnson),7.455,5867.00,1.30,1.25,2018-09-06,,,,2009,W. M. Keck Observatory,http://exoplanet.eu/catalog/hd_13931_b/,http://exoplanets.org/detail/HD_13931_b
440,HD 139357,b,HD 139357 b,Radial Velocity,0,1,1125.70000000,2.360000,0.100000,,9.76000,Msini,,,0,0,0,0,15h35m16.20s,233.817490,+53d55m19.7s,53.922142,112.45,112.45,5.964,V (Johnson),5.612,4700.00,1.35,11.47,2019-01-31,,,,2008,Thueringer Landessternwarte Tautenburg,http://exoplanet.eu/catalog/hd_139357_b/,http://exoplanets.org/detail/HD_139357_b
441,HD 1397,b,HD 1397 b,Transit,0,1,11.53533000,0.109700,0.251000,88.990,0.41500,Mass,1.026,0.47700,0,0,0,1,00h17m47.15s,4.446472,-66d21m32.1s,-66.358910,79.75,79.75,7.781,V (Johnson),7.593,5521.00,1.32,2.34,2019-07-25,0.203700,0.3584000,2458332.082610,2018,Transiting Exoplanet Survey Satellite (TESS),http://exoplanet.eu/catalog/hd_1397_b/,
442,HD 14067,b,HD 14067 b,Radial Velocity,0,1,1455.00000000,3.400000,0.533000,,7.80000,Msini,,,0,0,0,0,02h17m10.44s,34.293499,+23d46m04.2s,23.767832,142.60,142.60,6.530,V (Johnson),6.233,4815.00,2.40,12.40,2014-09-25,,,,2014,Okayama Astrophysical Observatory,http://exoplanet.eu/catalog/hd_14067_b/,
443,HD 141399,b,HD 141399 b,Radial Velocity,0,4,94.44000000,0.415000,0.040000,,0.45100,Msini,,,0,0,0,0,15h46m53.81s,236.724228,+46d59m10.5s,46.986263,36.20,37.06,7.200,V (Johnson),7.009,5600.00,1.07,,2016-02-25,,,,2014,Multiple Observatories,http://exoplanet.eu/catalog/hd_141399_b/,
444,HD 141399,c,HD 141399 c,Radial Velocity,0,4,201.99000000,0.689000,0.048000,,1.33000,Msini,,,0,0,0,0,15h46m53.81s,236.724228,+46d59m10.5s,46.986263,36.20,37.06,7.200,V (Johnson),7.009,5600.00,1.07,,2016-02-25,,,,2014,Multiple Observatories,http://exoplanet.eu/catalog/hd_141399_c/,
445,HD 141399,d,HD 141399 d,Radial Velocity,0,4,1069.80000000,2.090000,0.074000,,1.18000,Msini,,,0,0,0,0,15h46m53.81s,236.724228,+46d59m10.5s,46.986263,36.20,37.06,7.200,V (Johnson),7.009,5600.00,1.07,,2016-02-25,,,,2014,Multiple Observatories,http://exoplanet.eu/catalog/hd_141399_d/,
446,HD 141399,e,HD 141399 e,Radial Velocity,0,4,5000.00000000,5.000000,0.260000,,0.66000,Msini,,,0,0,0,0,15h46m53.81s,236.724228,+46d59m10.5s,46.986263,36.20,37.06,7.200,V (Johnson),7.009,5600.00,1.07,,2016-02-25,,,,2014,Multiple Observatories,http://exoplanet.eu/catalog/hd_141399_e/,
447,HD 141937,b,HD 141937 b,Radial Velocity,0,1,653.21997000,1.500000,0.410000,,9.69000,Msini,,,0,0,0,0,15h52m17.55s,238.073120,-18d26m09.8s,-18.436066,33.39,33.39,7.250,V (Johnson),7.091,5870.00,1.09,1.03,2018-09-06,,,,2002,La Silla Observatory,http://exoplanet.eu/catalog/hd_141937_b/,http://exoplanets.org/detail/HD_141937_b
448,HD 142,b,HD 142 b,Radial Velocity,0,2,349.70000000,1.020000,0.170000,,1.25000,Msini,,,0,0,0,0,00h06m19.18s,1.579898,-49d04m30.7s,-49.075191,26.21,26.21,5.700,V (Johnson),5.565,6245.00,1.23,1.47,2014-08-21,,,,2001,Anglo-Australian Telescope,http://exoplanet.eu/catalog/hd_142_b/,http://exoplanets.org/detail/HD_142_b
449,HD 142,c,HD 142 c,Radial Velocity,0,2,6005.00000000,6.800000,0.210000,,5.30000,Msini,,,0,0,0,0,00h06m19.18s,1.579898,-49d04m30.7s,-49.075191,26.21,26.21,5.700,V (Johnson),5.565,6245.00,1.23,1.47,2014-08-21,,,,2012,Anglo-Australian Telescope,http://exoplanet.eu/catalog/hd_142_c/,
